course,file_name,page,question_type,question,ground_truth,context
ML,Lecture9 SVM.pdf,15,Definition,What is s i?,A scalar value,"= α1 * 2 + α2 * 4   + α3 * 4   = -1
= α1 * 4 + α2 * 11 + α3 * 9   = +1
= α1 * 4 + α2 * 9   + α3 * 11 = +1
α1 = -3.5 ,         α2 = 0.75 ,           α3 = 0.75
W = Σ αi * s i
For all i= 1,2,3
1X + 0Y -2 = 0 
X = 2
W = [ 1 0 ]
Case Study I
[1 0 1]T
α1 * 
* [1  0 1]
[3 1 1]T
+α2 * 
* [1  0 1]
+α3 * 
[1 0 1]T
α1 * 
* [3  1 1]
[3 1 1]T
+α2 * 
* [3  1 1]
+α3 * 
* [3  1 1] = +1
[1 0 1]T
α1 * 
* [3 -1 1]
[3 1 1]T
+α2 * 
* [3 -1 1]
+α3 * 
* [3 -1 1] = +1
[3 -1 1]T
[3 -1 1]T
[3 -1 1]T
[1 0 1]
= α1 * 
+ α2 * 
+ α3 *     
= [1 0 -2]  
[3 1 1]
[3 -1 1]  
* [1  0 1] = - 1
"
ML,Lecture9 SVM.pdf,15,Definition,What is W?,A matrix,"= α1 * 2 + α2 * 4   + α3 * 4   = -1
= α1 * 4 + α2 * 11 + α3 * 9   = +1
= α1 * 4 + α2 * 9   + α3 * 11 = +1
α1 = -3.5 ,         α2 = 0.75 ,           α3 = 0.75
W = Σ αi * s i
For all i= 1,2,3
1X + 0Y -2 = 0 
X = 2
W = [ 1 0 ]
Case Study I
[1 0 1]T
α1 * 
* [1  0 1]
[3 1 1]T
+α2 * 
* [1  0 1]
+α3 * 
[1 0 1]T
α1 * 
* [3  1 1]
[3 1 1]T
+α2 * 
* [3  1 1]
+α3 * 
* [3  1 1] = +1
[1 0 1]T
α1 * 
* [3 -1 1]
[3 1 1]T
+α2 * 
* [3 -1 1]
+α3 * 
* [3 -1 1] = +1
[3 -1 1]T
[3 -1 1]T
[3 -1 1]T
[1 0 1]
= α1 * 
+ α2 * 
+ α3 *     
= [1 0 -2]  
[3 1 1]
[3 -1 1]  
* [1  0 1] = - 1
"
ML,Lecture3 Introduction to ML.pdf,32,Definition,What is Veracity?,The trustworthiness and quality of the data,"•
Volume
Volume: Big data involves vast amounts of data generated from various
sources, including sensors, social media, transaction records, etc....
•
Velocity
Velocity: Big data is generated at high speeds and requires real-time or near-
real-time processing to extract insights and value from it.
•
Variety
Variety: Big data encompasses diverse types of data, including text, images,
videos, sensor data, social media posts, and more, making it heterogeneous and
complex to analyze.
•
Veracity
Veracity: It refers to the trustworthiness and quality of the data. With such a
high volume of data generated daily, it remains a challenge to ensure the data
you work with is unbiased and correctly represents what it’s supposed to.
•
Value
Value: Data on its own isn’t useful unless it is analyzed and transformed into
meaningful
insights
that
provide
value
to
the
business.
For
example,
businesses use customer purchase data to create personalized marketing
strategies or predict future buying behavior.
32
Characteristics
"
ML,Lecture3 Introduction to ML.pdf,32,Concept,What is the challenge with high volume of data?,Ensuring the data is unbiased and correctly represents what it’s supposed to,"•
Volume
Volume: Big data involves vast amounts of data generated from various
sources, including sensors, social media, transaction records, etc....
•
Velocity
Velocity: Big data is generated at high speeds and requires real-time or near-
real-time processing to extract insights and value from it.
•
Variety
Variety: Big data encompasses diverse types of data, including text, images,
videos, sensor data, social media posts, and more, making it heterogeneous and
complex to analyze.
•
Veracity
Veracity: It refers to the trustworthiness and quality of the data. With such a
high volume of data generated daily, it remains a challenge to ensure the data
you work with is unbiased and correctly represents what it’s supposed to.
•
Value
Value: Data on its own isn’t useful unless it is analyzed and transformed into
meaningful
insights
that
provide
value
to
the
business.
For
example,
businesses use customer purchase data to create personalized marketing
strategies or predict future buying behavior.
32
Characteristics
"
ML,Lecture3 Introduction to ML.pdf,32,Application,What is the purpose of analyzing data?,To create meaningful insights that provide value to the business,"•
Volume
Volume: Big data involves vast amounts of data generated from various
sources, including sensors, social media, transaction records, etc....
•
Velocity
Velocity: Big data is generated at high speeds and requires real-time or near-
real-time processing to extract insights and value from it.
•
Variety
Variety: Big data encompasses diverse types of data, including text, images,
videos, sensor data, social media posts, and more, making it heterogeneous and
complex to analyze.
•
Veracity
Veracity: It refers to the trustworthiness and quality of the data. With such a
high volume of data generated daily, it remains a challenge to ensure the data
you work with is unbiased and correctly represents what it’s supposed to.
•
Value
Value: Data on its own isn’t useful unless it is analyzed and transformed into
meaningful
insights
that
provide
value
to
the
business.
For
example,
businesses use customer purchase data to create personalized marketing
strategies or predict future buying behavior.
32
Characteristics
"
ML,Lecture4 Data  Data Manipulation.pdf,31,Definition,What is thematic analysis?,Manual analysis and interpretation of data,"Data Labeling (cont’d)
Manual Approach
Manual Approach
The existing techniques mostly rely on manual analysis and interpretation of
data.
This manual analysis, also known as thematic
thematic analysis
analysis, involves at least three
expert analysts (Labelers
Labelers) who are intimately familiar with the data domain
and serve as an interface between data and end-users.
These manual approaches are 
• Slow
•
labor-intensive
•
highly subjective
•
biased
• impractical due to the huge volumes of available data.
1
"
ML,Lecture4 Data  Data Manipulation.pdf,31,Concept,What is the manual approach in data labeling?,Existing techniques that rely on manual analysis and interpretation of data,"Data Labeling (cont’d)
Manual Approach
Manual Approach
The existing techniques mostly rely on manual analysis and interpretation of
data.
This manual analysis, also known as thematic
thematic analysis
analysis, involves at least three
expert analysts (Labelers
Labelers) who are intimately familiar with the data domain
and serve as an interface between data and end-users.
These manual approaches are 
• Slow
•
labor-intensive
•
highly subjective
•
biased
• impractical due to the huge volumes of available data.
1
"
ML,Lecture4 Data  Data Manipulation.pdf,31,Characteristics,What are the characteristics of manual approaches in data labeling?,"Slow, labor-intensive, highly subjective, biased, and impractical","Data Labeling (cont’d)
Manual Approach
Manual Approach
The existing techniques mostly rely on manual analysis and interpretation of
data.
This manual analysis, also known as thematic
thematic analysis
analysis, involves at least three
expert analysts (Labelers
Labelers) who are intimately familiar with the data domain
and serve as an interface between data and end-users.
These manual approaches are 
• Slow
•
labor-intensive
•
highly subjective
•
biased
• impractical due to the huge volumes of available data.
1
"
ML,Lecture1.pdf,31,Definition,What is a rational agent?,An agent that maximizes the expected value of their goal given what they currently know,"AI: Thinking vs. Acting Humanly
Acting Rationally?
The study of rational agents agents that maximize the expected value of
their goal given what they currently know.
Rational agents acts in a way to maximize their goals.
Agent is anything that senses its environment and acts (able to execute actions) which
can be
1- Human,
2- Robot, or
3- Pure software.
- Sensors

eye
/
camera
/ Listener to byte stream
- Actuators 
hand
/
motors
/ ports-sockets
AI is concerned with the production of intelligent agents (Agentic AI). So, do
all agents are intelligent?
Intelligent Agents are agents that can operate autonomously in complex
environments.
"
ML,Lecture1.pdf,31,Definition,What is an intelligent agent?,An agent that can operate autonomously in complex environments,"AI: Thinking vs. Acting Humanly
Acting Rationally?
The study of rational agents agents that maximize the expected value of
their goal given what they currently know.
Rational agents acts in a way to maximize their goals.
Agent is anything that senses its environment and acts (able to execute actions) which
can be
1- Human,
2- Robot, or
3- Pure software.
- Sensors

eye
/
camera
/ Listener to byte stream
- Actuators 
hand
/
motors
/ ports-sockets
AI is concerned with the production of intelligent agents (Agentic AI). So, do
all agents are intelligent?
Intelligent Agents are agents that can operate autonomously in complex
environments.
"
ML,Lecture1.pdf,31,Definition,What are actuators?,Components that enable an agent to execute actions,"AI: Thinking vs. Acting Humanly
Acting Rationally?
The study of rational agents agents that maximize the expected value of
their goal given what they currently know.
Rational agents acts in a way to maximize their goals.
Agent is anything that senses its environment and acts (able to execute actions) which
can be
1- Human,
2- Robot, or
3- Pure software.
- Sensors

eye
/
camera
/ Listener to byte stream
- Actuators 
hand
/
motors
/ ports-sockets
AI is concerned with the production of intelligent agents (Agentic AI). So, do
all agents are intelligent?
Intelligent Agents are agents that can operate autonomously in complex
environments.
"
